,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Mã BĐS,Địa chỉ,Giá
74,88.0,2,2,Sổ hồng,11/03/2023,21961991," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 778 triệu
75,46.0,2,1,Sổ hồng,11/03/2023,21737093," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",620 triệu
76,58.0,2,1,Sổ hồng,11/03/2023,21962023," Lý Chính Thắng, Phường 8 (Phường Võ Thị Sáu), Quận 3, TPHCM",2 tỷ 863 triệu
77,48.0,2,2,Sổ hồng,11/03/2023,22015957," Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",650 triệu
78,70.0,2,2,Sổ hồng,11/03/2023,21962042," Nguyễn Khoái, Phường 1, Quận 4, TPHCM",2 tỷ 839 triệu
79,50.0,2,1,Sổ hồng,11/03/2023,22018084," Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",700 triệu
80,50.0,2,2,Sổ hồng,11/03/2023,22018073," Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",750 triệu
81,46.0,2,1,Sổ hồng,11/03/2023,21737106," Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",620 triệu
82,50.0,2,2,Sổ hồng,11/03/2023,22015493," Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",680 triệu
83,45.0,2,1,Sổ hồng,11/03/2023,21735542," Nguyễn Chí Thanh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",620 triệu
84,50.0,2,2,Sổ hồng,11/03/2023,22033227," Lạc Trung, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",700 triệu
85,50.0,2,2,Sổ đỏ,11/03/2023,22018081," Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",700 triệu
86,50.0,2,2,Sổ hồng,11/03/2023,22018074," Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",700 triệu
87,50.0,2,2,Sổ hồng,11/03/2023,22018085," Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",690 triệu
88,50.0,2,2,Sổ hồng,11/03/2023,22018082," Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",700 triệu
89,50.0,2,2,Sổ hồng,11/03/2023,22026473," Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",660 triệu
90,52.0,2,2,Sổ hồng,11/03/2023,22015904," Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",750 triệu
91,83.0,2,1,Giấy tờ hợp lệ,11/03/2023,21992798," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",5 tỷ 900 triệu
92,50.0,2,2,Sổ hồng,11/03/2023,22015907," Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",700 triệu
93,50.0,2,2,Sổ đỏ,11/03/2023,22015928," Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",650 triệu
94,50.0,2,2,Sổ hồng,11/03/2023,22015935," Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",700 triệu
95,48.0,2,2,Sổ đỏ,11/03/2023,22015503," Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",650 triệu
96,50.0,2,2,Sổ hồng,11/03/2023,22016006," Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",700 triệu
97,50.0,2,2,Sổ hồng,11/03/2023,22015924," Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",700 triệu
98,48.0,2,2,Sổ hồng,11/03/2023,22015480," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",649 triệu 999 nghìn
99,50.0,2,2,Sổ đỏ,11/03/2023,22018070," Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",690 triệu
100,50.0,2,2,Sổ hồng,11/03/2023,22018067," Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",650 triệu
101,50.0,2,2,Sổ hồng,11/03/2023,22018069," Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",800 triệu
102,50.0,2,2,Sổ hồng,11/03/2023,22018066," Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",700 triệu
103,46.0,2,1,Sổ hồng,11/03/2023,21737140," Phạm Ngọc Thạch, Phường Quang Trung, Quận Đống Đa, Hà Nội",630 triệu
104,46.0,2,1,Sổ hồng,11/03/2023,21737177," Trường Chinh, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",610 triệu
105,48.0,2,1,Sổ hồng,11/03/2023,21901111," Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",620 triệu
106,48.0,2,1,Sổ hồng,11/03/2023,21901119," Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",609 triệu
107,50.0,2,2,Sổ đỏ,11/03/2023,22015481," Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",660 triệu
108,50.0,2,2,Sổ hồng,11/03/2023,22015488," Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",650 triệu
109,92.0,3,2,Hợp đồng mua bán,11/03/2023,21959181," Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",3 tỷ 660 triệu
110,90.0,2,2,Sổ hồng,11/03/2023,22050934," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",4 tỷ 900 triệu
111,75.0,2,2,Hợp đồng mua bán,11/03/2023,22050901," Hồng Hà, Phường 2, Quận Tân Bình, TPHCM",3 tỷ 800 triệu
112,90.0,2,2,Sổ hồng,11/03/2023,22050942," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",4 tỷ 900 triệu
113,92.0,2,2,Sổ hồng,11/03/2023,22050973," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",4 tỷ 900 triệu
114,92.0,2,2,Sổ hồng,11/03/2023,22050990," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",5 tỷ 500 triệu
115,75.0,2,2,Sổ hồng,11/03/2023,21566880," Phan Văn Trị, Phường 10, Quận Gò Vấp, TPHCM",3 tỷ 700 triệu
116,54.0,1,1,Sổ hồng,11/03/2023,21873759," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2 tỷ
117,79.0,2,2,Không xác định,11/03/2023,22018447," Nguyên Hồng, Phường 1, Quận Gò Vấp, TPHCM",4 tỷ 99 triệu
118,39.0,1,1,Hợp đồng mua bán,11/03/2023,21625382," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",1 tỷ 850 triệu
119,69.0,2,2,Sổ hồng,11/03/2023,21566841," Nguyễn Văn Công, Phường 3, Quận Gò Vấp, TPHCM",3 tỷ 100 triệu
120,69.0,2,2,Hợp đồng mua bán,11/03/2023,21629963," Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, TPHCM",3 tỷ 100 triệu
121,76.0,2,2,Hợp đồng mua bán,11/03/2023,21629979," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",3 tỷ 900 triệu
122,80.0,2,2,Hợp đồng mua bán,11/03/2023,21566859," Trương Đăng Quế, Phường 3, Quận Gò Vấp, TPHCM",3 tỷ 400 triệu
123,68.0,2,2,Sổ hồng,11/03/2023,21887165," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2 tỷ 350 triệu
124,54.0,1,1,Sổ hồng,11/03/2023,21913272," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",1 tỷ 995 triệu
125,60.0,2,2,Sổ hồng,11/03/2023,22051459," Trường Chinh, Phường Tân Thới Nhất, Quận 12, TPHCM",2 tỷ 150 triệu
126,67.0,1,1,Sổ hồng,11/03/2023,21889064," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2 tỷ 10 triệu
127,52.0,1,1,Sổ hồng,11/03/2023,22007461," Hoàng Sa, Phường 12, Quận 3, TPHCM",2 tỷ 900 triệu
128,74.0,2,2,Sổ hồng,11/03/2023,22053974," Phú Thuận, Phường Phú Thuận, Quận 7, TPHCM",2 tỷ 135 triệu
129,94.0,3,2,Sổ hồng,11/03/2023,22053968," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",1 tỷ 370 triệu
130,39.0,1,1,Hợp đồng mua bán,11/03/2023,21589914," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",1 tỷ 750 triệu
131,65.0,2,2,Sổ hồng,11/03/2023,21859102," Đường số 35, Phường Cát Lái, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 550 triệu
132,112.0,3,2,Sổ hồng,11/03/2023,21859162," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",3 tỷ 350 triệu
133,69.0,2,2,Sổ hồng,11/03/2023,21859178," Thủy Lợi, Phường Phước Long A, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 720 triệu
134,65.0,2,2,Sổ hồng,11/03/2023,21859195," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 670 triệu
135,71.0,2,2,Sổ hồng,11/03/2023,21859227," Nguyễn Xí, Phường 26, Quận Bình Thạnh, TPHCM",1 tỷ 890 triệu
136,70.0,2,2,Sổ hồng,11/03/2023,21859259," Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM",2 tỷ 280 triệu
137,74.0,2,2,Sổ hồng,11/03/2023,21859572," Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM",1 tỷ 770 triệu
138,75.0,2,2,Sổ hồng,11/03/2023,21724695," Nguyên Hồng, Phường 1, Quận Gò Vấp, TPHCM",3 tỷ 600 triệu
139,73.0,2,1,Hợp đồng mua bán,11/03/2023,21458857," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",2 tỷ 400 triệu
140,86.0,3,2,Sổ hồng,11/03/2023,21992959," Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TPHCM",2 tỷ 60 triệu
141,75.0,2,2,Sổ hồng,11/03/2023,21992966," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 680 triệu
142,86.0,3,3,Sổ hồng,11/03/2023,21993219," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",2 tỷ 300 triệu
143,72.0,2,2,Không xác định,11/03/2023,21993562," Đường số 20, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 890 triệu
144,70.0,1,1,Sổ hồng,11/03/2023,21993996," Ngô Tất Tố, Phường 21, Quận Bình Thạnh, TPHCM",2 tỷ 800 triệu
145,60.0,2,2,Sổ hồng,11/03/2023,21994041," Ngô Tất Tố, Phường 19, Quận Bình Thạnh, TPHCM",1 tỷ 680 triệu
146,86.0,2,2,Sổ hồng,11/03/2023,21994333," Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, TPHCM",1 tỷ 680 triệu
147,90.0,2,2,Sổ hồng,11/03/2023,21994346," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",3 tỷ 160 triệu
148,70.0,2,2,Sổ hồng,11/03/2023,21994366," Phú Thuận, Phường Phú Thuận, Quận 7, TPHCM",2 tỷ 550 triệu
149,45.0,1,1,Sổ hồng,11/03/2023,21994378," Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 365 triệu
150,65.0,2,2,Sổ hồng,11/03/2023,21994383," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",2 tỷ 350 triệu
151,102.0,3,2,Sổ hồng,11/03/2023,21994425," Mai Chí Thọ, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",4 tỷ 325 triệu
152,92.0,2,2,Sổ hồng,11/03/2023,21994434," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",2 tỷ 350 triệu
153,60.0,2,2,Sổ hồng,11/03/2023,21994440," Đường D6, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 680 triệu
154,75.0,2,2,Sổ hồng,11/03/2023,21995407," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",2 tỷ 235 triệu
155,64.0,2,2,Sổ hồng,11/03/2023,21996026," Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 786 triệu
156,82.0,2,2,Sổ hồng,11/03/2023,21860969," Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TPHCM",3 tỷ 560 triệu
157,65.0,2,2,Sổ hồng,11/03/2023,21996037," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",1 tỷ 830 triệu
158,107.0,3,2,Sổ hồng,11/03/2023,21860974," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",3 tỷ 250 triệu
159,93.0,2,2,Sổ hồng,11/03/2023,21996048," Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, TPHCM",2 tỷ 310 triệu
160,75.0,2,2,Sổ hồng,11/03/2023,21861061," Mai Chí Thọ, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",3 tỷ 480 triệu
161,90.0,2,2,Sổ hồng,11/03/2023,21996054," Lê Đại Hành, Phường 15, Quận 11, TPHCM",3 tỷ 550 triệu
162,56.0,1,1,Sổ hồng,11/03/2023,21861069," Hồng Hà, Phường 2, Quận Tân Bình, TPHCM",1 tỷ 720 triệu
163,78.0,2,2,Sổ hồng,11/03/2023,21996088," Tôn Đản, Phường 13, Quận 4, TPHCM",2 tỷ 450 triệu
164,66.0,2,2,Sổ hồng,11/03/2023,21861180," Đỗ Xuân Hợp, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 570 triệu
165,60.0,1,1,Sổ hồng,11/03/2023,21993221," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",1 tỷ 760 triệu
166,78.0,2,2,Sổ hồng,11/03/2023,21861277," Linh Đông, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 860 triệu
167,98.0,3,2,Sổ hồng,11/03/2023,21993575," Đường số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",2 tỷ 980 triệu
168,52.0,2,1,Sổ hồng,11/03/2023,21861296," Đỗ Xuân Hợp, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 168 triệu
169,76.0,2,2,Giấy tờ hợp lệ,11/03/2023,21900363," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",4 tỷ
170,90.0,3,2,Sổ hồng,11/03/2023,21993582," Cao Đạt, Phường 1, Quận 5, TPHCM",1 tỷ 950 triệu
171,90.0,3,2,Sổ hồng,11/03/2023,21861374," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",3 tỷ 200 triệu
172,90.0,2,2,Sổ hồng,11/03/2023,21994031," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",2 tỷ 250 triệu
173,130.0,3,3,Sổ hồng,11/03/2023,21861402," Phổ Quang, Phường 2, Quận Tân Bình, TPHCM",3 tỷ 890 triệu
174,85.0,2,2,Sổ hồng,11/03/2023,21859899," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",3 tỷ 820 triệu
175,67.0,2,2,Sổ hồng,11/03/2023,21458861," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2 tỷ 500 triệu
